codistat,codprov_istat,segm3,km,casmez,year,index_stateint
35020,35,3,-289.9946958123143,0,2006,70.83333268761635
35020,35,3,-289.9946958123143,0,2008,70.72546863555908
35020,35,3,-289.9946958123143,0,2013,27.40751563385129
35020,35,3,-289.9946958123143,0,2018,60.57317185401917
35021,35,3,-296.1051789316028,0,1994,39.63249561935663
35021,35,3,-296.1051789316028,0,1996,40.13759410381317
35021,35,3,-296.1051789316028,0,2001,56.4645764529705
35021,35,3,-296.1051789316028,0,2006,75.92242173850536
35021,35,3,-296.1051789316028,0,2008,69.83809149265289
35021,35,3,-296.1051789316028,0,2013,26.21502327919006
35021,35,3,-296.1051789316028,0,2018,61.4337655454874
35022,35,3,-311.7401285534622,0,1994,38.17143611609936
35022,35,3,-311.7401285534622,0,1996,38.89495718479156
35022,35,3,-311.7401285534622,0,2001,47.67975628376007
35022,35,3,-311.7401285534622,0,2006,62.93125802278519
35022,35,3,-311.7401285534622,0,2008,68.57578587532043
35022,35,3,-311.7401285534622,0,2013,35.46392106823623
35022,35,3,-311.7401285534622,0,2018,59.42942065000534
35023,35,3,-308.7161787326934,0,1994,34.67568799853325
35023,35,3,-308.7161787326934,0,1996,34.35153341293335
35023,35,3,-308.7161787326934,0,2001,47.73225095868111
35023,35,3,-308.7161787326934,0,2006,62.37825573980808
35023,35,3,-308.7161787326934,0,2008,67.68449997901917
35023,35,3,-308.7161787326934,0,2013,32.73839198425412
35023,35,3,-308.7161787326934,0,2018,60.24038794636726
35024,35,3,-308.7024051199005,0,1994,32.70020491629839
35024,35,3,-308.7024051199005,0,1996,31.66672873497009
35024,35,3,-308.7024051199005,0,2001,42.01957404613495
35024,35,3,-308.7024051199005,0,2006,56.77509638667107
35024,35,3,-308.7024051199005,0,2008,65.01977968215942
35024,35,3,-308.7024051199005,0,2013,32.52042159996927
35024,35,3,-308.7024051199005,0,2018,60.47748190164566
35026,35,3,-309.7731338293636,0,1994,35.42048118263483
35026,35,3,-309.7731338293636,0,1996,34.30831187963486
35026,35,3,-309.7731338293636,0,2001,47.34691083431244
35026,35,3,-309.7731338293636,0,2006,64.2631039917469
35026,35,3,-309.7731338293636,0,2008,66.8578929901123
35026,35,3,-309.7731338293636,0,2013,30.14959555864334
35026,35,3,-309.7731338293636,0,2018,60.7798618376255
35028,35,3,-298.410724271247,0,1994,36.4400694295764
35028,35,3,-298.410724271247,0,1996,37.25196027755737
35028,35,3,-298.410724271247,0,2001,50.93534907698631
35028,35,3,-298.410724271247,0,2006,69.31354903429747
35028,35,3,-298.410724271247,0,2008,68.89838576316833
35028,35,3,-298.410724271247,0,2013,30.7011442296207
35028,35,3,-298.410724271247,0,2018,61.2100322842598
35029,35,3,-309.1520829995514,0,1994,35.40173570811749
35029,35,3,-309.1520829995514,0,1996,36.56298005580902
35029,35,3,-309.1520829995514,0,2001,48.95437863469124
35029,35,3,-309.1520829995514,0,2006,65.8948273062706
35029,35,3,-309.1520829995514,0,2008,68.94579982757568
35029,35,3,-309.1520829995514,0,2013,31.40604243986309
35029,35,3,-309.1520829995514,0,2018,60.82461592555046
35032,35,3,-299.8316997646926,0,1994,36.99607892334461
35032,35,3,-299.8316997646926,0,1996,36.58612287044525
35032,35,3,-299.8316997646926,0,2001,49.47473126649857
35032,35,3,-299.8316997646926,0,2006,66.45267456769943
35032,35,3,-299.8316997646926,0,2008,68.60605812072754
35032,35,3,-299.8316997646926,0,2013,32.51949042081833
35032,35,3,-299.8316997646926,0,2018,59.54458183050156
35033,35,3,-293.3778909654025,0,1994,35.30112325400114
35033,35,3,-293.3778909654025,0,1996,35.49418616294861
35033,35,3,-293.3778909654025,0,2001,47.76371252536774
35033,35,3,-293.3778909654025,0,2006,65.31972682476044
35033,35,3,-293.3778909654025,0,2008,70.46699357032776
35033,35,3,-293.3778909654025,0,2013,30.82052348181605
35033,35,3,-293.3778909654025,0,2018,60.52156263589859
35034,35,3,-291.4143696955456,0,1994,39.58030242472887
35034,35,3,-291.4143696955456,0,1996,39.38048648834229
35034,35,3,-291.4143696955456,0,2001,52.70391228795052
35034,35,3,-291.4143696955456,0,2006,69.80888520181179
35034,35,3,-291.4143696955456,0,2008,68.96374678611755
35034,35,3,-291.4143696955456,0,2013,29.11212983354926
35034,35,3,-291.4143696955456,0,2018,59.4142744243145
35035,35,3,-294.4672359886503,0,1994,34.32769731432199
35035,35,3,-294.4672359886503,0,1996,33.84007382392883
35035,35,3,-294.4672359886503,0,2001,46.30059081315994
35035,35,3,-294.4672359886503,0,2006,64.49420341849327
35035,35,3,-294.4672359886503,0,2008,69.91294050216675
35035,35,3,-294.4672359886503,0,2013,26.0326003562659
35035,35,3,-294.4672359886503,0,2018,61.54001781344414
35036,35,3,-281.1026416996469,0,1994,35.93194227665663
35036,35,3,-281.1026416996469,0,1996,36.74989402294159
35036,35,3,-281.1026416996469,0,2001,49.08560663461685
35036,35,3,-281.1026416996469,0,2006,66.52477641403675
35036,35,3,-281.1026416996469,0,2008,70.25573134422302
35036,35,3,-281.1026416996469,0,2013,35.41246883943677
35036,35,3,-281.1026416996469,0,2018,59.92800009250641
